product_id,product_title,categories,reviews.text,rating,sentiment
2738409,Winter Wool Scarf,Fashion,Exactly what I needed!,5,Positive
9274176,Board Game Bundle,Toys & Games,Fast shipping and great packaging.,5,Positive
9274176,Board Game Bundle,Toys & Games,Top-notch build and performance.,5,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,Very disappointed with this item.,2,Negative
964279,Smartwatch Fitness Tracker,Electronics,Great product! Works perfectly.,4,Positive
964279,Smartwatch Fitness Tracker,Electronics,Poor quality and broke quickly.,1,Negative
8129390,Mystery Thriller Novel,Books,I'm very satisfied with this purchase.,4,Positive
4716121,Long-Wear Matte Lipstick,Beauty,Easy to use and durable.,5,Positive
7307260,Natural Shampoo Set,Beauty,Fast shipping and great packaging.,5,Positive
4589130,Stainless Steel Blender,Home & Kitchen,"It's okay, nothing special.",4,Positive
3523465,Yoga Mat,Sports & Outdoors,Highly recommend. Excellent quality.,4,Positive
8129390,Mystery Thriller Novel,Books,"Does the job, but not impressed.",3,Neutral
8261104,Water Bottle,Sports & Outdoors,I'm very satisfied with this purchase.,4,Positive
5237618,LED Desk Lamp,Home & Kitchen,Highly recommend. Excellent quality.,5,Positive
2402283,Wireless Bluetooth Earbuds,Electronics,Fast shipping and great packaging.,5,Positive
2738409,Winter Wool Scarf,Fashion,Fast shipping and great packaging.,4,Neutral
964279,Smartwatch Fitness Tracker,Electronics,"Could be better, but acceptable.",3,Neutral
9274176,Board Game Bundle,Toys & Games,"Works, but not as described.",3,Neutral
8261104,Water Bottle,Sports & Outdoors,Very disappointed with this item.,2,Neutral
6215130,Noise-Canceling Headphones,Electronics,Not as shown online.,1,Negative
9263650,Slim Fit Denim Jeans,Fashion,Highly recommend. Excellent quality.,5,Positive
9263650,Slim Fit Denim Jeans,Fashion,Fast shipping and great packaging.,4,Positive
4442583,Hydrating Facial Serum,Beauty,"Does the job, but not impressed.",4,Positive
5316444,Self-Help Motivational Book,Books,"Works, but not as described.",3,Neutral
5413704,Cookbook with Recipes,Books,"Does the job, but not impressed.",3,Neutral
9274176,Board Game Bundle,Toys & Games,Decent value for the money.,3,Neutral
4589130,Stainless Steel Blender,Home & Kitchen,Highly recommend. Excellent quality.,4,Positive
3786675,Anti-Aging Night Cream,Beauty,Would not recommend to anyone.,2,Neutral
3786675,Anti-Aging Night Cream,Beauty,"Could be better, but acceptable.",3,Neutral
9757659,LEGO Building Kit,Toys & Games,I'm very satisfied with this purchase.,4,Neutral
2765144,Ceramic Coffee Mug,Home & Kitchen,"It's okay, nothing special.",3,Neutral
6224586,Leather Crossbody Bag,Fashion,"Does the job, but not impressed.",3,Neutral
5413704,Cookbook with Recipes,Books,I'm very satisfied with this purchase.,5,Positive
3628113,Hiking Backpack,Sports & Outdoors,Great product! Works perfectly.,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,Great product! Works perfectly.,5,Positive
6215130,Noise-Canceling Headphones,Electronics,I'm very satisfied with this purchase.,5,Positive
2738409,Winter Wool Scarf,Fashion,"Does the job, but not impressed.",4,Positive
4589130,Stainless Steel Blender,Home & Kitchen,Exactly what I needed!,5,Positive
6215130,Noise-Canceling Headphones,Electronics,Exactly what I needed!,4,Positive
6215130,Noise-Canceling Headphones,Electronics,Decent value for the money.,3,Neutral
6215130,Noise-Canceling Headphones,Electronics,"Does the job, but not impressed.",3,Neutral
7882388,Non-Stick Frying Pan,Home & Kitchen,Well worth the price!,5,Positive
2180003,Casual Cotton T-Shirt,Fashion,Exactly what I needed!,5,Positive
9640962,Electric Toothbrush,Health & Personal Care,Would not recommend to anyone.,2,Negative
4257420,Multivitamin Pack,Health & Personal Care,Decent value for the money.,3,Neutral
5237618,LED Desk Lamp,Home & Kitchen,Easy to use and durable.,5,Positive
4716121,Long-Wear Matte Lipstick,Beauty,Easy to use and durable.,5,Positive
5316444,Self-Help Motivational Book,Books,Fast shipping and great packaging.,5,Positive
4442583,Hydrating Facial Serum,Beauty,"Does the job, but not impressed.",4,Positive
7882388,Non-Stick Frying Pan,Home & Kitchen,"Not bad, but has some issues.",3,Neutral
7686351,Hand Sanitizer Gel,Health & Personal Care,Highly recommend. Excellent quality.,5,Positive
4657153,Remote Control Car,Toys & Games,I'm very satisfied with this purchase.,4,Positive
7686351,Hand Sanitizer Gel,Health & Personal Care,Top-notch build and performance.,5,Positive
9640962,Electric Toothbrush,Health & Personal Care,"Not bad, but has some issues.",3,Neutral
3786675,Anti-Aging Night Cream,Beauty,Packaging was damaged and product didn't function.,1,Negative
964279,Smartwatch Fitness Tracker,Electronics,"It's okay, nothing special.",3,Neutral
5316444,Self-Help Motivational Book,Books,Highly recommend. Excellent quality.,4,Neutral
4515506,Wooden Puzzle Set,Toys & Games,"It's okay, nothing special.",4,Positive
4657153,Remote Control Car,Toys & Games,"It's okay, nothing special.",2,Neutral
6224586,Leather Crossbody Bag,Fashion,Great product! Works perfectly.,4,Positive
7307260,Natural Shampoo Set,Beauty,Top-notch build and performance.,5,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,Fast shipping and great packaging.,4,Positive
9263650,Slim Fit Denim Jeans,Fashion,"Works, but not as described.",3,Neutral
8129390,Mystery Thriller Novel,Books,Fast shipping and great packaging.,5,Positive
4657153,Remote Control Car,Toys & Games,Exactly what I needed!,5,Positive
2402283,Wireless Bluetooth Earbuds,Electronics,"Could be better, but acceptable.",3,Neutral
5237618,LED Desk Lamp,Home & Kitchen,Fast shipping and great packaging.,4,Neutral
6843264,Memory Foam Pillow,Health & Personal Care,"Does the job, but not impressed.",3,Neutral
2402283,Wireless Bluetooth Earbuds,Electronics,Fast shipping and great packaging.,5,Positive
2738409,Winter Wool Scarf,Fashion,"Terrible experience, do not buy.",1,Negative
5237618,LED Desk Lamp,Home & Kitchen,"Terrible experience, do not buy.",2,Negative
4795734,Children's Picture Book,Books,"Does the job, but not impressed.",4,Neutral
8261104,Water Bottle,Sports & Outdoors,Easy to use and durable.,5,Positive
3628113,Hiking Backpack,Sports & Outdoors,I'm very satisfied with this purchase.,5,Positive
8261104,Water Bottle,Sports & Outdoors,"It's okay, nothing special.",3,Neutral
4657153,Remote Control Car,Toys & Games,"Average product, nothing stands out.",3,Neutral
2765144,Ceramic Coffee Mug,Home & Kitchen,"Terrible experience, do not buy.",2,Negative
4442583,Hydrating Facial Serum,Beauty,"It's okay, nothing special.",4,Positive
9640962,Electric Toothbrush,Health & Personal Care,"Could be better, but acceptable.",3,Neutral
9640962,Electric Toothbrush,Health & Personal Care,Well worth the price!,5,Positive
3523465,Yoga Mat,Sports & Outdoors,I'm very satisfied with this purchase.,5,Positive
6843264,Memory Foam Pillow,Health & Personal Care,Fast shipping and great packaging.,4,Positive
9274176,Board Game Bundle,Toys & Games,"Does the job, but not impressed.",4,Positive
4257420,Multivitamin Pack,Health & Personal Care,Exactly what I needed!,5,Positive
3900407,Portable Power Bank,Electronics,Great product! Works perfectly.,4,Positive
4257420,Multivitamin Pack,Health & Personal Care,Exactly what I needed!,5,Positive
6215130,Noise-Canceling Headphones,Electronics,"Does the job, but not impressed.",3,Neutral
3628113,Hiking Backpack,Sports & Outdoors,"Could be better, but acceptable.",3,Neutral
9274176,Board Game Bundle,Toys & Games,"It's okay, nothing special.",3,Neutral
3523465,Yoga Mat,Sports & Outdoors,Great product! Works perfectly.,5,Positive
5413704,Cookbook with Recipes,Books,Great product! Works perfectly.,4,Neutral
4716121,Long-Wear Matte Lipstick,Beauty,Exactly what I needed!,5,Positive
4716121,Long-Wear Matte Lipstick,Beauty,Highly recommend. Excellent quality.,4,Positive
7307260,Natural Shampoo Set,Beauty,Top-notch build and performance.,5,Positive
9263650,Slim Fit Denim Jeans,Fashion,Exactly what I needed!,5,Positive
9757659,LEGO Building Kit,Toys & Games,I'm very satisfied with this purchase.,4,Positive
6843264,Memory Foam Pillow,Health & Personal Care,Fast shipping and great packaging.,5,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,"Does the job, but not impressed.",2,Negative
4589130,Stainless Steel Blender,Home & Kitchen,"Could be better, but acceptable.",3,Neutral
8129390,Mystery Thriller Novel,Books,"It's okay, nothing special.",4,Positive
6843264,Memory Foam Pillow,Health & Personal Care,Would not recommend to anyone.,2,Negative
8261104,Water Bottle,Sports & Outdoors,I'm very satisfied with this purchase.,4,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,I'm very satisfied with this purchase.,4,Positive
4442583,Hydrating Facial Serum,Beauty,"Could be better, but acceptable.",3,Neutral
7307260,Natural Shampoo Set,Beauty,"Does the job, but not impressed.",4,Positive
3628113,Hiking Backpack,Sports & Outdoors,Very disappointed with this item.,2,Negative
4515506,Wooden Puzzle Set,Toys & Games,"Not bad, but has some issues.",3,Neutral
9757659,LEGO Building Kit,Toys & Games,Fast shipping and great packaging.,4,Positive
6843264,Memory Foam Pillow,Health & Personal Care,Fast shipping and great packaging.,4,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,Highly recommend. Excellent quality.,5,Positive
4657153,Remote Control Car,Toys & Games,Fast shipping and great packaging.,4,Positive
4795734,Children's Picture Book,Books,"It's okay, nothing special.",4,Positive
5316444,Self-Help Motivational Book,Books,I'm very satisfied with this purchase.,5,Positive
4515506,Wooden Puzzle Set,Toys & Games,"Works, but not as described.",3,Neutral
3786675,Anti-Aging Night Cream,Beauty,Worst purchase I've made.,2,Neutral
2180003,Casual Cotton T-Shirt,Fashion,"Could be better, but acceptable.",3,Neutral
4515506,Wooden Puzzle Set,Toys & Games,Fast shipping and great packaging.,5,Positive
4657153,Remote Control Car,Toys & Games,"Average product, nothing stands out.",3,Neutral
964279,Smartwatch Fitness Tracker,Electronics,"It's okay, nothing special.",3,Neutral
4657153,Remote Control Car,Toys & Games,"Average product, nothing stands out.",4,Positive
6215130,Noise-Canceling Headphones,Electronics,"Average product, nothing stands out.",4,Positive
6215130,Noise-Canceling Headphones,Electronics,Easy to use and durable.,5,Positive
4589130,Stainless Steel Blender,Home & Kitchen,Highly recommend. Excellent quality.,4,Positive
964279,Smartwatch Fitness Tracker,Electronics,Worst purchase I've made.,2,Neutral
2765144,Ceramic Coffee Mug,Home & Kitchen,"Does the job, but not impressed.",2,Negative
7307260,Natural Shampoo Set,Beauty,"Average product, nothing stands out.",4,Positive
7686351,Hand Sanitizer Gel,Health & Personal Care,Great product! Works perfectly.,4,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,I'm very satisfied with this purchase.,4,Positive
2180003,Casual Cotton T-Shirt,Fashion,Poor quality and broke quickly.,2,Negative
6843264,Memory Foam Pillow,Health & Personal Care,Easy to use and durable.,5,Positive
9757659,LEGO Building Kit,Toys & Games,"Works, but not as described.",3,Neutral
9274176,Board Game Bundle,Toys & Games,"Terrible experience, do not buy.",1,Negative
4657153,Remote Control Car,Toys & Games,Fast shipping and great packaging.,4,Positive
4657153,Remote Control Car,Toys & Games,Would not recommend to anyone.,1,Negative
4515506,Wooden Puzzle Set,Toys & Games,"Average product, nothing stands out.",4,Positive
7686351,Hand Sanitizer Gel,Health & Personal Care,"Average product, nothing stands out.",4,Positive
3900407,Portable Power Bank,Electronics,I'm very satisfied with this purchase.,5,Positive
2402283,Wireless Bluetooth Earbuds,Electronics,"Works, but not as described.",3,Neutral
6215130,Noise-Canceling Headphones,Electronics,Exactly what I needed!,4,Positive
3628113,Hiking Backpack,Sports & Outdoors,Worst purchase I've made.,2,Negative
3523465,Yoga Mat,Sports & Outdoors,"Does the job, but not impressed.",4,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,"Works, but not as described.",3,Neutral
3628113,Hiking Backpack,Sports & Outdoors,"Does the job, but not impressed.",4,Neutral
3900407,Portable Power Bank,Electronics,Would not recommend to anyone.,2,Negative
9640962,Electric Toothbrush,Health & Personal Care,"Average product, nothing stands out.",4,Positive
3786675,Anti-Aging Night Cream,Beauty,"Average product, nothing stands out.",4,Positive
964279,Smartwatch Fitness Tracker,Electronics,"Does the job, but not impressed.",3,Neutral
9274176,Board Game Bundle,Toys & Games,Easy to use and durable.,5,Positive
4589130,Stainless Steel Blender,Home & Kitchen,Fast shipping and great packaging.,5,Positive
6224586,Leather Crossbody Bag,Fashion,"Does the job, but not impressed.",4,Positive
5237618,LED Desk Lamp,Home & Kitchen,Exactly what I needed!,5,Positive
3628113,Hiking Backpack,Sports & Outdoors,I'm very satisfied with this purchase.,4,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,"Not bad, but has some issues.",3,Neutral
2738409,Winter Wool Scarf,Fashion,Worst purchase I've made.,2,Negative
9263650,Slim Fit Denim Jeans,Fashion,Decent value for the money.,3,Neutral
7686351,Hand Sanitizer Gel,Health & Personal Care,I'm very satisfied with this purchase.,5,Positive
6215130,Noise-Canceling Headphones,Electronics,Easy to use and durable.,5,Positive
2738409,Winter Wool Scarf,Fashion,"It's okay, nothing special.",4,Positive
6843264,Memory Foam Pillow,Health & Personal Care,Fast shipping and great packaging.,5,Positive
7307260,Natural Shampoo Set,Beauty,Decent value for the money.,3,Neutral
9640962,Electric Toothbrush,Health & Personal Care,"Could be better, but acceptable.",3,Neutral
6843264,Memory Foam Pillow,Health & Personal Care,Exactly what I needed!,5,Positive
3523465,Yoga Mat,Sports & Outdoors,Worst purchase I've made.,2,Negative
5237618,LED Desk Lamp,Home & Kitchen,"Terrible experience, do not buy.",2,Negative
2738409,Winter Wool Scarf,Fashion,Exactly what I needed!,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,I'm very satisfied with this purchase.,5,Positive
4795734,Children's Picture Book,Books,"It's okay, nothing special.",4,Neutral
7686351,Hand Sanitizer Gel,Health & Personal Care,"Average product, nothing stands out.",4,Neutral
2402283,Wireless Bluetooth Earbuds,Electronics,"Works, but not as described.",3,Neutral
4657153,Remote Control Car,Toys & Games,Well worth the price!,5,Positive
4589130,Stainless Steel Blender,Home & Kitchen,I'm very satisfied with this purchase.,4,Neutral
6215130,Noise-Canceling Headphones,Electronics,I'm very satisfied with this purchase.,5,Positive
5316444,Self-Help Motivational Book,Books,Fast shipping and great packaging.,4,Positive
2180003,Casual Cotton T-Shirt,Fashion,Worst purchase I've made.,2,Neutral
7307260,Natural Shampoo Set,Beauty,Exactly what I needed!,5,Positive
7307260,Natural Shampoo Set,Beauty,"Average product, nothing stands out.",4,Positive
3900407,Portable Power Bank,Electronics,Exactly what I needed!,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,I'm very satisfied with this purchase.,5,Positive
7686351,Hand Sanitizer Gel,Health & Personal Care,I'm very satisfied with this purchase.,4,Positive
6843264,Memory Foam Pillow,Health & Personal Care,"Terrible experience, do not buy.",2,Negative
4515506,Wooden Puzzle Set,Toys & Games,Packaging was damaged and product didn't function.,1,Negative
9757659,LEGO Building Kit,Toys & Games,Great product! Works perfectly.,4,Neutral
3628113,Hiking Backpack,Sports & Outdoors,Fast shipping and great packaging.,5,Positive
5413704,Cookbook with Recipes,Books,I'm very satisfied with this purchase.,4,Positive
9263650,Slim Fit Denim Jeans,Fashion,Great product! Works perfectly.,5,Positive
9274176,Board Game Bundle,Toys & Games,Did not work as expected.,1,Negative
9263650,Slim Fit Denim Jeans,Fashion,Top-notch build and performance.,5,Positive
4257420,Multivitamin Pack,Health & Personal Care,Decent value for the money.,3,Neutral
5316444,Self-Help Motivational Book,Books,I'm very satisfied with this purchase.,5,Positive
3628113,Hiking Backpack,Sports & Outdoors,Top-notch build and performance.,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,Exactly what I needed!,5,Positive
7307260,Natural Shampoo Set,Beauty,Top-notch build and performance.,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,Very disappointed with this item.,1,Negative
3628113,Hiking Backpack,Sports & Outdoors,I'm very satisfied with this purchase.,4,Positive
8129390,Mystery Thriller Novel,Books,"Average product, nothing stands out.",4,Positive
5413704,Cookbook with Recipes,Books,"Average product, nothing stands out.",4,Neutral
9274176,Board Game Bundle,Toys & Games,Poor quality and broke quickly.,2,Neutral
9274176,Board Game Bundle,Toys & Games,Very disappointed with this item.,2,Neutral
2738409,Winter Wool Scarf,Fashion,"Does the job, but not impressed.",4,Positive
2738409,Winter Wool Scarf,Fashion,"Average product, nothing stands out.",4,Positive
9757659,LEGO Building Kit,Toys & Games,Fast shipping and great packaging.,5,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,Top-notch build and performance.,5,Positive
7882388,Non-Stick Frying Pan,Home & Kitchen,"It's okay, nothing special.",4,Positive
4657153,Remote Control Car,Toys & Games,Easy to use and durable.,5,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,Great product! Works perfectly.,4,Positive
5413704,Cookbook with Recipes,Books,Fast shipping and great packaging.,5,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,Fast shipping and great packaging.,4,Positive
9263650,Slim Fit Denim Jeans,Fashion,"Does the job, but not impressed.",3,Neutral
6224586,Leather Crossbody Bag,Fashion,Highly recommend. Excellent quality.,5,Positive
964279,Smartwatch Fitness Tracker,Electronics,"Terrible experience, do not buy.",1,Negative
8129390,Mystery Thriller Novel,Books,Poor quality and broke quickly.,2,Negative
9640962,Electric Toothbrush,Health & Personal Care,Easy to use and durable.,5,Positive
3628113,Hiking Backpack,Sports & Outdoors,Highly recommend. Excellent quality.,4,Positive
4442583,Hydrating Facial Serum,Beauty,I'm very satisfied with this purchase.,5,Positive
3523465,Yoga Mat,Sports & Outdoors,Not as shown online.,1,Negative
6843264,Memory Foam Pillow,Health & Personal Care,Easy to use and durable.,5,Positive
3523465,Yoga Mat,Sports & Outdoors,Top-notch build and performance.,5,Positive
9263650,Slim Fit Denim Jeans,Fashion,Worst purchase I've made.,2,Negative
4795734,Children's Picture Book,Books,I'm very satisfied with this purchase.,5,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,"It's okay, nothing special.",2,Negative
7307260,Natural Shampoo Set,Beauty,Fast shipping and great packaging.,4,Positive
260609,Resistance Exercise Bands,Sports & Outdoors,Highly recommend. Excellent quality.,4,Positive
5316444,Self-Help Motivational Book,Books,"Does the job, but not impressed.",3,Neutral
3523465,Yoga Mat,Sports & Outdoors,Poor quality and broke quickly.,2,Negative
7882388,Non-Stick Frying Pan,Home & Kitchen,Great product! Works perfectly.,5,Positive
8129390,Mystery Thriller Novel,Books,"Does the job, but not impressed.",4,Neutral
6215130,Noise-Canceling Headphones,Electronics,"It's okay, nothing special.",4,Positive
4716121,Long-Wear Matte Lipstick,Beauty,Fast shipping and great packaging.,4,Neutral
5316444,Self-Help Motivational Book,Books,Would not recommend to anyone.,2,Negative
9640962,Electric Toothbrush,Health & Personal Care,I'm very satisfied with this purchase.,4,Positive
4515506,Wooden Puzzle Set,Toys & Games,Top-notch build and performance.,5,Positive
964279,Smartwatch Fitness Tracker,Electronics,Well worth the price!,5,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,Great product! Works perfectly.,5,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,"Could be better, but acceptable.",3,Neutral
5413704,Cookbook with Recipes,Books,"Works, but not as described.",3,Neutral
8129390,Mystery Thriller Novel,Books,Exactly what I needed!,5,Positive
9263650,Slim Fit Denim Jeans,Fashion,I'm very satisfied with this purchase.,4,Positive
6843264,Memory Foam Pillow,Health & Personal Care,"Does the job, but not impressed.",4,Positive
7882388,Non-Stick Frying Pan,Home & Kitchen,I'm very satisfied with this purchase.,4,Positive
3628113,Hiking Backpack,Sports & Outdoors,Packaging was damaged and product didn't function.,1,Negative
2402283,Wireless Bluetooth Earbuds,Electronics,"Does the job, but not impressed.",3,Neutral
6224586,Leather Crossbody Bag,Fashion,"It's okay, nothing special.",3,Neutral
3900407,Portable Power Bank,Electronics,Exactly what I needed!,5,Positive
2738409,Winter Wool Scarf,Fashion,Fast shipping and great packaging.,4,Positive
8129390,Mystery Thriller Novel,Books,"Works, but not as described.",3,Neutral
3900407,Portable Power Bank,Electronics,Very disappointed with this item.,1,Negative
4795734,Children's Picture Book,Books,"Does the job, but not impressed.",4,Positive
9640962,Electric Toothbrush,Health & Personal Care,Exactly what I needed!,5,Positive
3628113,Hiking Backpack,Sports & Outdoors,"Does the job, but not impressed.",2,Negative
6843264,Memory Foam Pillow,Health & Personal Care,"Does the job, but not impressed.",4,Neutral
5413704,Cookbook with Recipes,Books,"Does the job, but not impressed.",3,Neutral
4589130,Stainless Steel Blender,Home & Kitchen,Fast shipping and great packaging.,4,Neutral
5316444,Self-Help Motivational Book,Books,Exactly what I needed!,5,Positive
4442583,Hydrating Facial Serum,Beauty,Very disappointed with this item.,2,Negative
9263650,Slim Fit Denim Jeans,Fashion,"Does the job, but not impressed.",2,Negative
260609,Resistance Exercise Bands,Sports & Outdoors,Top-notch build and performance.,5,Positive
5413704,Cookbook with Recipes,Books,"Average product, nothing stands out.",4,Positive
4515506,Wooden Puzzle Set,Toys & Games,"It's okay, nothing special.",4,Positive
9274176,Board Game Bundle,Toys & Games,Great product! Works perfectly.,4,Positive
9757659,LEGO Building Kit,Toys & Games,Highly recommend. Excellent quality.,4,Positive
6843264,Memory Foam Pillow,Health & Personal Care,Great product! Works perfectly.,4,Positive
3786675,Anti-Aging Night Cream,Beauty,Exactly what I needed!,4,Neutral
3523465,Yoga Mat,Sports & Outdoors,Top-notch build and performance.,5,Positive
2765144,Ceramic Coffee Mug,Home & Kitchen,Not as shown online.,1,Negative
8261104,Water Bottle,Sports & Outdoors,"Average product, nothing stands out.",3,Neutral
6843264,Memory Foam Pillow,Health & Personal Care,Great product! Works perfectly.,5,Positive
8129390,Mystery Thriller Novel,Books,"Not bad, but has some issues.",3,Neutral
7686351,Hand Sanitizer Gel,Health & Personal Care,Decent value for the money.,3,Neutral
6224586,Leather Crossbody Bag,Fashion,"It's okay, nothing special.",2,Negative
5316444,Self-Help Motivational Book,Books,Well worth the price!,5,Positive
9263650,Slim Fit Denim Jeans,Fashion,"Could be better, but acceptable.",3,Neutral
5413704,Cookbook with Recipes,Books,Highly recommend. Excellent quality.,4,Positive
7686351,Hand Sanitizer Gel,Health & Personal Care,Worst purchase I've made.,1,Negative
2180003,Casual Cotton T-Shirt,Fashion,Decent value for the money.,3,Neutral
8261104,Water Bottle,Sports & Outdoors,"Does the job, but not impressed.",3,Neutral
9263650,Slim Fit Denim Jeans,Fashion,Decent value for the money.,3,Neutral
4589130,Stainless Steel Blender,Home & Kitchen,Exactly what I needed!,4,Positive
2180003,Casual Cotton T-Shirt,Fashion,"It's okay, nothing special.",2,Negative
2738409,Winter Wool Scarf,Fashion,Did not work as expected.,1,Negative
7307260,Natural Shampoo Set,Beauty,"Average product, nothing stands out.",4,Positive
3786675,Anti-Aging Night Cream,Beauty,Easy to use and durable.,5,Positive
3786675,Anti-Aging Night Cream,Beauty,"Average product, nothing stands out.",4,Positive
9274176,Board Game Bundle,Toys & Games,"Does the job, but not impressed.",4,Neutral
4716121,Long-Wear Matte Lipstick,Beauty,Great product! Works perfectly.,5,Positive
3628113,Hiking Backpack,Sports & Outdoors,Highly recommend. Excellent quality.,4,Neutral
7882388,Non-Stick Frying Pan,Home & Kitchen,Very disappointed with this item.,2,Negative
2738409,Winter Wool Scarf,Fashion,Very disappointed with this item.,2,Neutral
8129390,Mystery Thriller Novel,Books,"Does the job, but not impressed.",4,Positive
7307260,Natural Shampoo Set,Beauty,Top-notch build and performance.,5,Positive
4442583,Hydrating Facial Serum,Beauty,"It's okay, nothing special.",3,Neutral
5413704,Cookbook with Recipes,Books,Would not recommend to anyone.,2,Neutral
8261104,Water Bottle,Sports & Outdoors,Easy to use and durable.,5,Positive
3523465,Yoga Mat,Sports & Outdoors,Great product! Works perfectly.,5,Positive
4657153,Remote Control Car,Toys & Games,Well worth the price!,5,Positive
7882388,Non-Stick Frying Pan,Home & Kitchen,"It's okay, nothing special.",3,Neutral
964279,Smartwatch Fitness Tracker,Electronics,"Average product, nothing stands out.",4,Positive
3523465,Yoga Mat,Sports & Outdoors,Fast shipping and great packaging.,4,Neutral
9274176,Board Game Bundle,Toys & Games,Did not work as expected.,1,Negative
7307260,Natural Shampoo Set,Beauty,"It's okay, nothing special.",2,Negative
8129390,Mystery Thriller Novel,Books,Great product! Works perfectly.,5,Positive
6843264,Memory Foam Pillow,Health & Personal Care,Packaging was damaged and product didn't function.,1,Negative
5316444,Self-Help Motivational Book,Books,Top-notch build and performance.,5,Positive
7882388,Non-Stick Frying Pan,Home & Kitchen,"Works, but not as described.",3,Neutral
7882388,Non-Stick Frying Pan,Home & Kitchen,Would not recommend to anyone.,2,Negative
2738409,Winter Wool Scarf,Fashion,Easy to use and durable.,5,Positive
2180003,Casual Cotton T-Shirt,Fashion,Not as shown online.,1,Negative
6215130,Noise-Canceling Headphones,Electronics,Decent value for the money.,3,Neutral
4442583,Hydrating Facial Serum,Beauty,"Average product, nothing stands out.",3,Neutral
6843264,Memory Foam Pillow,Health & Personal Care,Decent value for the money.,3,Neutral
3786675,Anti-Aging Night Cream,Beauty,Decent value for the money.,3,Neutral
6215130,Noise-Canceling Headphones,Electronics,Decent value for the money.,3,Neutral
4795734,Children's Picture Book,Books,Easy to use and durable.,5,Positive
7686351,Hand Sanitizer Gel,Health & Personal Care,Easy to use and durable.,5,Positive
